Batch,ID,Name,Primary Domain,Blurring Line Angle,Location,Outreach Priority,Contact Method
SPORTS & CORPORATE LEADERS,1,Shital Mahajan Rane,Adventure Sports + Disability Advocacy,"Skydiver (70% vision impaired, 2,137+ skydives) + girls empowerment",National,Tier 1,TEDx organizer networks; Padma Shri awardee
SPORTS & CORPORATE LEADERS,2,Sumit Antil,Para-Athletics + Sports Innovation,"Javelin (F64, Paris 2024 gold) + sports tech for differently-abled",Haryana,Tier 1,IOS Sports Management; Paralympic networks
SPORTS & CORPORATE LEADERS,3,Nitesh Kumar,Para-Badminton + Entrepreneurship,"Para-badminton champion (Paris 2024, Jhajjar native) + startup builder","Jhajjar, Haryana",Tier 1,LinkedIn; Local Haryana networks; DIRECT PROXIMITY
SPORTS & CORPORATE LEADERS,4,Harvinder Singh,Archery + Social Impact,First Indian Paralympic archery gold (Paris 2024) + grassroots programs,"Kaithal, Haryana",Tier 1,Kaithal networks; State government
SPORTS & CORPORATE LEADERS,5,Navdeep Singh,Para-Javelin + Youth Mentorship,Gold medalist (Paris 2024) + coaching next generation,"Sonipat, Haryana",Tier 1,Sonipat-based; State networks
SPORTS & CORPORATE LEADERS,6,Dharambir,Disability Overcoming + Business Resilience,"Gold medalist (Paris 2024, Asian record) + adaptive sports equipment consulting","Sonipat, Haryana",Tier 1,State networks; Para-sports ecosystem
SPORTS & CORPORATE LEADERS,7,Pranav Soorma,Para-Athletics + Tech Integration,Silver medalist (Paris 2024) + AI motion analysis for para-athletes,Haryana,Tier 2,Para-athlete networks; Tech integration
SPORTS & CORPORATE LEADERS,8,Akshdeep Singh,Cricket + Sports Management + Entrepreneurship,IIM Rohtak MBA + Chronicles Sporting Events + MMA promotion (Devils Octagon),Haryana/NCR,Tier 1,IIM Rohtak network; Delhi NCR startup ecosystem
SPORTS & CORPORATE LEADERS,9,Kapil Dev,Cricket + Business Diversification,Legend + entrepreneur; athlete-to-businessman pioneer,National,Tier 2,Celebrity networks; Social media
SPORTS & CORPORATE LEADERS,10,Saina Nehwal,Badminton + Brand Building,Olympic medalist + brand partnerships + sports academy,National,Tier 2,Celebrity networks; Brand circles
SPORTS & CORPORATE LEADERS,11,Gagan Narang,Shooting + Social Impact + Entrepreneurship,Olympic bronze (2012) + Narang Sports Foundation,National,Tier 2,LinkedIn; Foundation networks
SPORTS & CORPORATE LEADERS,12,Abhinav Bindra,Shooting + Sports Entrepreneurship + Advocacy,Olympic gold (2008) + ventures + grassroots advocacy,National,Tier 2,LinkedIn; Corporate networks
SPORTS & CORPORATE LEADERS,13,Parikshit Khanna,Sports Analytics + AI + Life Skills Coaching,"62,000+ trained students; Indian Army + Haryana Govt + IIT Delhi trainer",Delhi NCR,Tier 1,Direct contact: +91 80762 50669
SPORTS & CORPORATE LEADERS,14,Author Sherry,Public Speaking for Athletes + Communication Coaching,"8x TEDx speaker; trained 240,000+; MS Talks India (750K+ followers)",Delhi,Tier 1,Direct contact: +91 85888 46633
SPORTS & CORPORATE LEADERS,15,Janet Vidhi,National Squash Champion + Youth Motivation,Former champion → life coaching + emotional intelligence,Delhi,Tier 2,Social media; Coaching platforms
SPORTS & CORPORATE LEADERS,16,Rohit Nandwani,Panipat-based Sports Tech Founder (Hammer Lifestyle),Declined Shark Tank investment; ₹60 crore FY24 revenue; 10 lakh customers,"Panipat, Haryana",Tier 1,LinkedIn active; Panipat-based
SPORTS & CORPORATE LEADERS,17,Dr. Nancy Juneja,Life Skills + Youth Psychology + NITI Aayog Fellow,3x TEDx speaker; 12 books; 2 patents; RevUp LifeSkills founder,Delhi,Tier 1,NITI Aayog connection; Direct contact available
SPORTS & CORPORATE LEADERS,18,Vivek Bindra,Business Coaching + Sports Motivation Synergy,Bada Business founder; ₹100-500 Cr revenue; 10M+ YouTube subscribers,Delhi,Tier 2,YouTube; Multiple platforms
SPORTS & CORPORATE LEADERS,19,Ankur Warikoo,Entrepreneur + Life Coaching + Sports Psychology,AbdullaBhai co-founder; 800K+ LinkedIn followers,Delhi NCR,Tier 1,LinkedIn; Josh Talks circuit
SPORTS & CORPORATE LEADERS,20,Pradeep Chopra,Digital Marketing + Sports Sponsorship Strategy,Digital Vidya co-founder; IIT Delhi; ₹50M+ revenue,Delhi NCR,Tier 2,IIT Delhi networks; LinkedIn
